145 ;144
145 144 126 ;164
145 144 126 164 124 ;163
145 144 126 164 124 163 184 ;162
145 144 126 164 124 163 184 162 181 ;161
145 144 126 164 124 163 184 162 181 161 127 ;160
221 ;220
221 220 240 ;202
221 220 240 202 238 ;201
221 220 240 202 238 201 184 ;200
221 220 240 202 238 201 184 200 181 ;199
221 220 240 202 238 201 184 200 181 199 241 ;198
139 ;140
139 140 120 ;158
139 140 120 158 122 ;159
139 140 120 158 122 159 176 ;160
139 140 120 158 122 159 176 160 179 ;161
139 140 120 158 122 159 176 160 179 161 119 ;162
215 ;216
215 216 234 ;196
215 216 234 196 236 ;197
215 216 234 196 236 197 176 ;198
215 216 234 196 236 197 176 198 179 ;199
215 216 234 196 236 197 176 198 179 199 233 ;200
235 ;216
235 216 234 ;236
235 216 234 236 196 ;217
235 216 234 236 196 217 256 ;198
235 216 234 236 196 217 256 198 199 ;179
235 216 234 236 196 217 256 198 199 179 253 ;160
239 ;220
239 220 240 ;238
239 220 240 238 202 ;219
239 220 240 238 202 219 256 ;200
239 220 240 238 202 219 256 200 199 ;181
239 220 240 238 202 219 256 200 199 181 259 ;162
121 ;140
121 140 120 ;122
121 140 120 122 158 ;141
121 140 120 122 158 141 104 ;160
121 140 120 122 158 141 104 160 161 ;179
121 140 120 122 158 141 104 160 161 179 101 ;198
125 ;144
125 144 126 ;124
125 144 126 124 164 ;143
125 144 126 124 164 143 104 ;162
125 144 126 124 164 143 104 162 161 ;181
125 144 126 124 164 143 104 162 161 181 107 ;200
145 ;125
145 125 126 ;107
145 125 126 107 127 ;109
145 125 126 107 127 109 89 ;108
145 125 126 107 127 109 89 108 143 ;106
145 125 126 107 127 109 89 108 143 106 105 ;110
221 ;239
221 239 240 ;259
221 239 240 259 241 ;261
221 239 240 259 241 261 279 ;260
221 239 240 259 241 261 279 260 219 ;258
221 239 240 259 241 261 279 260 219 258 257 ;262
139 ;121
139 121 120 ;101
139 121 120 101 119 ;99
139 121 120 101 119 99 81 ;100
139 121 120 101 119 99 81 100 141 ;102
139 121 120 101 119 99 81 100 141 102 103 ;98
215 ;235
215 235 234 ;253
215 235 234 253 233 ;251
215 235 234 253 233 251 271 ;252
215 235 234 253 233 251 271 252 217 ;254
215 235 234 253 233 251 271 252 217 254 255 ;250
235 ;215
235 215 234 ;233
235 215 234 233 253 ;271
235 215 234 233 253 271 251 ;252
235 215 234 233 253 271 251 252 197 ;214
235 215 234 233 253 271 251 252 197 214 195 ;290
239 ;221
239 221 240 ;241
239 221 240 241 259 ;279
239 221 240 241 259 279 261 ;260
239 221 240 241 259 279 261 260 201 ;222
239 221 240 241 259 279 261 260 201 222 203 ;298
121 ;139
121 139 120 ;119
121 139 120 119 101 ;81
121 139 120 119 101 81 99 ;100
121 139 120 119 101 81 99 100 159 ;138
121 139 120 119 101 81 99 100 159 138 157 ;62
125 ;145
125 145 126 ;127
125 145 126 127 107 ;89
125 145 126 127 107 89 109 ;108
125 145 126 127 107 89 109 108 163 ;146
125 145 126 127 107 89 109 108 163 146 165 ;70
